flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
78,78,84,13,14,0,1,33554432,709500,0.7095,13,True,14.907201,14.197701,18.906966416605055,59009,2.5253134762699534,False,112388,23355,323890,234857,89033,0,0,727,88306,1813,1086,40116,0,1,4,340410,4,3.0288820870555577,0.7921931167028509,0.20780688329714916,2567424
79,79,193,13,32,1,19,33554432,1200000,1.2,22,True,16.268224,15.068224,17.8146711915087,55484,2.3744597081354044,False,119272,23361,332356,236445,95911,0,0,1097,94814,2856,1759,38390,0,1,5,374600,3,3.14072037024616,0.8041367630290429,0.19586323697095714,2456960
80,80,302,13,50,2,37,33554432,1690500,1.6905,31,True,16.153508,14.463008,18.560140186605718,55923,2.3932468866349983,False,114509,23355,329023,237869,91154,0,0,844,90310,1995,1151,44149,0,1,4,349396,2,3.051253613253107,0.796042232488276,0.20395776751172398,2825536
81,81,411,13,68,3,55,33554432,2181000,2.181,40,True,18.482996,16.301996,16.466416505070914,59255,2.53584114349296,False,129023,23344,366707,261028,105679,0,0,802,104877,2291,1489,49519,0,1,5,411614,3,3.1902373995334163,0.8190710183455663,0.18092898165443372,3169216
82,82,520,13,86,4,73,33554432,2671500,2.6715,49,True,19.465398,16.793898,15.984106608245447,57211,2.44836735567253,False,132910,23357,378802,269249,109553,0,0,588,108965,1471,883,55804,0,1,4,432372,3,3.2531186517192086,0.8242645399142277,0.17573546008577232,3571456
83,83,629,13,104,5,91,33554432,3162000,3.162,58,True,17.624384,14.462384,18.560940990088493,54867,2.3480549492874565,False,114479,23351,322791,231663,91128,0,0,1152,89976,2925,1773,39017,0,1,4,349925,3,3.0566741498440764,0.7960237248753046,0.20397627512469535,2497088
84,84,90,14,15,0,1,33554432,764000,0.764,14,True,17.482815,16.718815,16.055890085511443,61872,2.647836692771858,False,132295,23357,377929,268991,108938,2,0,867,108069,2196,1329,51520,0,1,4,430044,3,3.2506443932121396,0.8234475981707547,0.17655240182924525,3297280
85,85,199,14,33,1,19,33554432,1254500,1.2545,23,True,16.549029,15.294529,17.551076989686965,56921,2.435956691060042,False,121052,23354,344609,246911,97698,53,0,1312,96333,3450,2138,45692,0,1,5,377506,2,3.118544096751809,0.8070746456068466,0.19292535439315336,2924288
86,86,308,14,51,2,37,33554432,1745000,1.745,32,True,15.352744000000001,13.607744,19.72666857930308,57456,2.458852227500321,False,107715,23331,314793,230409,84384,0,0,958,83426,2393,1435,42014,0,1,5,339281,5,3.149802720141113,0.7834006405793065,0.2165993594206935,2688896
87,87,417,14,69,3,55,33554432,2235500,2.2355,41,True,17.968378,15.732878,17.06206938107573,56382,2.412889973038901,False,124549,23354,349340,248145,101195,0,0,785,100410,2103,1318,43902,0,1,5,398255,3,3.1975768573011427,0.8124914692209492,0.1875085307790508,2809728
